url_id,url,date,title,summary,extraction_date,author
3ef10f4c67da7aba8a3758a42f549f68,https://www.afr.com/markets/equity-markets/asx-poised-for-muted-end-to-disappointing-year-20181229-h19jll,2018/12/31,ASX poised for muted end to disappointing year,"Australian shares are poised to open higher in a shortened session, though not enough to dent what's been a dismal fourth quarter.",18-04-2021,Timothy Moore
69d10c25bcb54161e5f0de183ba70aec,https://www.afr.com/markets/equity-markets/asx-poised-to-follow-wall-street-lower-20181228-h19io1,2018/12/28,ASX poised to follow Wall Street lower,"Australian shares are poised to merely slip at the open, after a wild 90-minute rally on Wall Street.",18-04-2021,Timothy Moore
9e21f7b1328af447ab49996f83c4f3bc,https://www.afr.com/markets/equity-markets/asx-set-to-catch-wall-st-wave-20181227-h19hkf,2018/12/27,ASX set to catch Wall St wave,"Australian shares are poised to open higher, bolstered by Wall Street's overnight surge.",18-04-2021,Timothy Moore
88042dfb87266c25ca5d35ccefd27cf9,https://www.afr.com/markets/equity-markets/australias-sharemarket-is-poised-to-extend-losses-20181222-h19eu4,2018/12/24,Australia's sharemarket is poised to extend losses,"Australian shares are set to open lower, after the Nasdaq fell into a bear market, oil slid and base metals drifted lower.",18-04-2021,Timothy Moore
a547e9d350b828fccea9d14ea7913c8d,https://www.afr.com/markets/equity-markets/asx-seen-dragged-lower-by-extended-global-selling-nasdaq-enters-bear-market-20181221-h19d5j,2018/12/21,"ASX seen lower on extended global selling, Dow sheds 464 points",Australian stocks are poised to edge lower amid an extended global sell-off and after a surge in volatility on Wall Street.,18-04-2021,Timothy Moore
d00a5d7378087310248640127b0d2c23,https://www.afr.com/markets/equity-markets/asx-futures-higher-fed-awaited-20181220-h19b5y,2018/12/20,"ASX futures slide, Fed's optimism disappoints","Australian shares are poised to open lower, dragged down by a sharp sell-off on Wall St.",18-04-2021,Timothy Moore
ba7d10dfb3da883107bd6475a343aff6,https://www.afr.com/markets/equity-markets/asx-set-to-edge-higher-as-federal-reserve-hopes-lift-wall-street-a-flat-20181219-h199n8,2018/12/19,ASX to open flat despite Federal Reserve hopes lifting Wall Street; $A down,Australian shares are set to edge slightly lower as Wall Street reversed gains from earlier in the session. ,18-04-2021,Natasha Rudra
6ff648386c57040e86e87bfe8f88a4e4,https://www.afr.com/markets/equity-markets/asx-set-to-edge-down-as-shares-continue-slump-a-down-20181218-h1985d,2018/12/18,ASX set to plunge as global markets extend slump; $A flat,Australian shares are set to drop sharply as markets extend a pre-Christmas slump.,18-04-2021,Natasha Rudra
930a85370e4187c04f3f76ec5e39c819,https://www.afr.com/markets/equity-markets/asx-set-to-fall-with-global-selloff-on-weak-chinese-data-a-below-72-us-cents-20181211-h18yxw,2018/12/15,ASX set to fall after Wall Street hits eight-month low; $A below 72 US cents,Australian shares are set to open lower after Wall St plunged to an eight-month low and markets prepare for a final round of central bank meetings.,18-04-2021,Natasha Rudra
04f8d379a52ba0875b8f1bc4226c427d,https://www.afr.com/markets/equity-markets/asx-set-to-open-lower-as-markets-continue-global-decline-20181213-h191zk,2018/12/14,ASX set to open lower on mixed Wall St; $A up slightly,Australian shares are set to open lower on the back of a mixed performance on Wall Street.,18-04-2021,Natasha Rudra
0a4b257e643666449c57a4e9d0e77805,https://www.afr.com/markets/equity-markets/asx-to-open-higher-a-rises-above-72-us-cents-20181213-h191zi,2018/12/13,ASX to edge lower; $A rises above 72 US cents,Australian shares are set to edge lower as Wall Street surrendered some of its earlier gains while European stocks shook off further turmoil around a leadership challenge against British PM Theresa May.,18-04-2021,Natasha Rudra
